GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ticket-service,com.epam.training.ticketservice.model,Room,3,29,0,0,1,5,1,5,1,5
ticket-service,com.epam.training.ticketservice.model,Movie,3,29,0,0,1,5,1,5,1,5
ticket-service,com.epam.training.ticketservice.model,Screening,3,9,0,0,1,4,1,2,1,2
ticket-service,com.epam.training.ticketservice.model,ScreeningId,0,32,0,0,0,6,0,6,0,6
ticket-service,com.epam.training.ticketservice.model,Account,11,21,0,0,2,4,2,4,2,4
ticket-service,com.epam.training.ticketservice.service.exception,OverlapException,0,4,0,0,0,2,0,1,0,1
ticket-service,com.epam.training.ticketservice.service.exception,NoScreeningException,0,4,0,0,0,2,0,1,0,1
ticket-service,com.epam.training.ticketservice.service.exception,NoMovieException,0,4,0,0,0,2,0,1,0,1
ticket-service,com.epam.training.ticketservice.service.exception,NoRoomException,0,4,0,0,0,2,0,1,0,1
ticket-service,com.epam.training.ticketservice,Application,8,0,0,0,3,0,2,0,2,0
ticket-service,com.epam.training.ticketservice,ApplicationPromptProvider,8,0,0,0,2,0,2,0,2,0
ticket-service,com.epam.training.ticketservice,AccountInitializer,30,0,2,0,8,0,4,0,3,0
ticket-service,com.epam.training.ticketservice.handler,AccountCommand,32,42,6,4,8,12,7,5,3,4
ticket-service,com.epam.training.ticketservice.handler,ScreeningCommand,50,87,1,3,9,18,2,6,1,5
ticket-service,com.epam.training.ticketservice.handler,RoomCommand,48,79,1,5,12,17,2,8,1,6
ticket-service,com.epam.training.ticketservice.handler,MovieCommand,52,69,1,5,9,17,3,7,2,5
ticket-service,com.epam.training.ticketservice.service,MovieService,68,21,0,0,12,7,7,4,7,4
ticket-service,com.epam.training.ticketservice.service,ScreeningService,21,291,5,11,5,54,6,20,1,17
ticket-service,com.epam.training.ticketservice.service,AccountService,0,30,0,0,0,12,0,6,0,6
ticket-service,com.epam.training.ticketservice.service,RoomService,34,55,0,0,6,13,3,8,3,8
